No,カテゴリ,分野名_JP,分野名_EN,主要キーワード,Google Scholar クエリ,標準教科書例,重要式・概念
1,化学工学コア,化学工学基礎,Chemical Engineering Fundamentals,"mass balance, energy balance, conservation","(""chemical engineering fundamentals"") AND (""mass balance"" OR ""energy balance"") AND (""ODE"" OR ""differential equation"")","Felder Elementary Principles of Chemical Processes; Himmelblau Basic Principles","物質収支、エネルギー収支、CSTR の動特性"
2,化学工学コア,反応工学（基礎）,Reaction Engineering Basics,"reaction kinetics, CSTR, PFR, batch reactor","(""reaction engineering"" OR ""chemical reactor"") AND (""kinetics"") AND (""CSTR"" OR ""PFR"" OR ""batch reactor"")","Fogler Elements of Chemical Reaction Engineering 5th; Levenspiel Chemical Reaction Engineering 3rd","r=kC, Arrhenius, design equations for CSTR/PFR/batch"
3,化学工学コア,反応工学（応用）,Reaction Engineering Advanced,"non-isothermal reactor, multi-phase, catalysis","(""reactor design"") AND (""non-isothermal"" OR ""multiphase"" OR ""catalytic"") AND (""mathematical model"")","Fogler Ch. 8-12; Froment Chemical Reactor Analysis","非等温反応器、固定床、流動床、多相反応器"
4,化学工学コア,プロセス制御（基礎）,Process Control Basics,"PID, dynamics, transfer function","(""process control"") AND (""PID"" OR ""transfer function"" OR ""dynamics"") AND (""first-order"" OR ""ODE"")","Seborg Process Dynamics and Control 4th; Bequette Process Control","PID, Laplace, FOPDT, state-space"
5,化学工学コア,プロセス制御（応用）,Process Control Advanced,"MPC, adaptive control, nonlinear control","(""model predictive control"" OR ""adaptive control"") AND (""process"") AND (""dynamic model"")","Camacho Model Predictive Control; Henson Nonlinear Process Control","MPC、適応制御、非線形制御"
6,化学工学コア,熱力学（基礎）,Thermodynamics Basics,"phase equilibrium, equation of state, Gibbs energy","(""chemical thermodynamics"" OR ""thermodynamics"") AND (""phase equilibrium"" OR ""equation of state"")","Smith Van Ness Abbott Introduction to Chemical Engineering Thermodynamics","状態方程式、相平衡、Gibbs エネルギー"
7,化学工学コア,熱力学（応用）,Thermodynamics Advanced,"polymer thermodynamics, electrolyte, supercritical","(""advanced thermodynamics"") AND (""polymer"" OR ""electrolyte"" OR ""supercritical"")","Prausnitz Molecular Thermodynamics of Fluid-Phase Equilibria","高分子・電解質・超臨界系の熱力学"
8,化学工学コア,流体力学（基礎）,Fluid Dynamics Basics,"Navier-Stokes, Bernoulli, viscous flow","(""fluid mechanics"" OR ""fluid dynamics"") AND (""Navier-Stokes"" OR ""Bernoulli"") AND (""boundary conditions"")","White Fluid Mechanics 8th; Bird-Stewart-Lightfoot Transport Phenomena","Navier-Stokes, Bernoulli, Reynolds 数"
9,化学工学コア,流体力学（応用）,Fluid Dynamics Advanced,"turbulence, multiphase flow, CFD","(""turbulent flow"" OR ""multiphase flow"") AND (""RANS"" OR ""LES"" OR ""CFD model"")","Pope Turbulent Flows; Crowe Multiphase Flows with Droplets and Particles","乱流、多相流、混合"
10,化学工学コア,伝熱（基礎）,Heat Transfer Basics,"Fourier law, conduction, convection, radiation","(""heat transfer"") AND (""Fourier"" OR ""conduction"" OR ""convection"" OR ""radiation"") AND (""differential equation"")","Incropera Fundamentals of Heat and Mass Transfer 8th; Bergman","Fourier 法則、Newton 冷却、Stefan-Boltzmann"
11,化学工学コア,伝熱（応用）,Heat Transfer Advanced,"heat exchanger, boiling, condensation, non-Newtonian","(""heat exchanger"") AND (""dynamic model"" OR ""thermal design"") AND (""LMTD"" OR ""NTU"")","Kakac Heat Exchangers; Carey Liquid-Vapor Phase-Change Phenomena","熱交換器、沸騰・凝縮、対数平均温度差"
12,化学工学コア,物質移動,Mass Transfer,"Fick law, diffusion, mass transfer coefficient","(""mass transfer"") AND (""Fick"" OR ""diffusion coefficient"") AND (""concentration gradient"")","Cussler Diffusion: Mass Transfer in Fluid Systems; Geankoplis","Fick 法則、Sherwood 数、対流物質移動"
13,化学工学コア,輸送現象,Transport Phenomena,"momentum heat mass coupling, BSL","(""transport phenomena"") AND (""momentum transfer"" OR ""heat and mass transfer"") AND (""coupled equations"")","Bird-Stewart-Lightfoot Transport Phenomena 2nd","運動量・熱・物質移動の同時取扱い、無次元数"
14,化学工学コア,分離プロセス,Separation Processes,"distillation, absorption, extraction, McCabe-Thiele","(""distillation"" OR ""absorption"" OR ""extraction"") AND (""mass transfer"" OR ""tray model"" OR ""HETP"")","Seader Separation Process Principles 4th; Geankoplis","McCabe-Thiele, NRTL, HETP, MESH 式"
15,電気化学,電気化学（基礎）,Electrochemistry Basics,"Butler-Volmer, Nernst, Tafel, electrode kinetics","(""electrochemistry"") AND (""Butler-Volmer"" OR ""Nernst equation"") AND (""electrode kinetics"")","Bard Faulkner Electrochemical Methods 2nd","Butler-Volmer, Nernst, Tafel, EIS"
16,電気化学,電気化学（応用）,Electrochemistry Advanced,"battery model, fuel cell, electrolysis","(""battery"" OR ""fuel cell"" OR ""electrolyzer"") AND (""mathematical model"") AND (""electrochemistry"")","Newman Electrochemical Systems 3rd","電池モデル、燃料電池、電気分解"
